timestamp,step_name,status,duration_sec,message
2025-11-01 12:08:02,wrangling,SUCCESS,7.98,
wrangling,completed,7.98,1761995274.9679863,1761995282.952579
2025-11-01 12:08:59,train_models,SUCCESS,56.42,
train_models,completed,56.42,1761995282.976804,1761995339.3990412
2025-11-01 12:09:06,compare_results,SUCCESS,7.22,
compare_results,completed,7.22,1761995339.4948173,1761995346.7174613
pytest_validation,passed,5.37,1761995346.7306666,1761995352.101901
2025-11-01 12:09:12,pytest_validation,SUCCESS,5.37,
2025-11-01 12:09:30,ingest_to_postgres,SUCCESS,18.1,
ingest_to_postgres,completed,18.10,1761995352.1235762,1761995370.2229695
